,text,term,start,end,polarity
5,"Not only was the food outstanding, but the little 'perks' were great.",food,17,21,positive
12,Nevertheless the food itself is pretty good.,food,17,21,positive
21,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,32,37,neutral
25,The pizza is the best if you like thin crusted pizza.,pizza,4,9,positive
38,Faan's got a great concept but a little rough on the delivery.,delivery,53,61,negative
40,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,38,48,positive
57,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,6,13,neutral
58,it's a perfect place to have a amanzing indian food.,indian food,40,51,positive
59,The place is so cool and the service is prompt and curtious.,service,29,36,positive
77,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,74,80,neutral
89,Go here for a romantic dinner but not for an all out wow dining experience.,dining,57,63,positive
94,The menu is very limited - i think we counted 4 or 5 entrees.,menu,4,8,negative
108,The pizza was pretty good and huge.,pizza,4,9,positive
121,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,76,87,positive
124,Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,48,53,positive
129,Our server checked on us maybe twice during the entire meal.,meal,55,59,neutral
137,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,21,33,neutral
142,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",Food,25,29,conflict
145,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,202,207,positive
160,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,152,156,positive
166,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,4,18,positive
171,"Order the panang duck, it's fantastic.",panang duck,10,21,positive
179,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Sea Bass,42,50,positive
183,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,80,85,negative
198,The food always tastes fresh and served promptly.,served,33,39,positive
225,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza,23,34,positive
239,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,108,115,positive
240,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",foods,217,222,positive
